          ;       12138;   ;Filtro    ;Inicio                                  ;03062013      ;122934;10.170.1.9     ;OK ;                    ;Inicio de filtrado                                                      
          ;       12138;   ;Filtro    ;tbk_param.txt                           ;03062013      ;122934;10.170.1.9     ;OK ;                    ;Archivo parseado                                                        
          ;       12138;   ;Filtro    ;Terminado                               ;03062013      ;122934;10.170.1.9     ;OK ;                    ;Datos Filtrados con exito                                               
          ;       12138;   ;sanitiza  ;inicio                                  ;03062013      ;122934;10.170.1.9     ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       12138;   ;sanitiza  ;Array                                   ;03062013      ;122934;10.170.1.9     ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       12138;   ;sanitiza  ;Fin                                     ;03062013      ;122934;10.170.1.9     ;Ok ;                    ;Sanitizacion exitosa                                                    
0276974674;       12138;   ;pago      ;inicio                                  ;03062013      ;122934;10.170.1.9     ;OK ;597026007976        ;Parseo realizado                                                        
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122934;10.170.1.9     ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122934;10.170.1.9     ;OK ;597026007976        ;Mac generado                                                            
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122934;10.170.1.9     ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122934;10.170.1.9     ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122934;10.170.1.9     ;OK ;597026007976        ;Datos listos para ser enviados                                          
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122934;10.170.1.9     ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122941;10.170.1.9     ;OK ;597026007976        ;Datos validados                                                         
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122941;10.170.1.9     ;OK ;597026007976        ;Token=eb330c2ca00b70732fef7c4b1f9a6c1e92f85be782941d009182c8e5df098564  
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122941;10.170.1.9     ;OK ;597026007976        ;Redireccion web                                                         
0276974674;       12138;   ;pago      ;https://certificacion.webpay.cl         ;03062013      ;122941;10.170.1.9     ;OK ;597026007976        ;Todo OK                                                                 
          ;       12514;   ;resultado ;Desencriptando                          ;03062013      ;123041;10.170.1.9     ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       12514;   ;resultado ;Validacion                              ;03062013      ;123041;10.170.1.9     ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       12514;   ;resultado ;OC_20130603122845                       ;03062013      ;123041;10.170.1.9     ;OK ;                    ;Parseo de los datos                                                     
          ;       12514;   ;resultado ;OC_20130603122845                       ;03062013      ;123041;10.170.1.9     ;OK ;                    ;http://10.170.1.12:3000/check                                           
276974674 ;       12514;   ;transacc  ;276974674                               ;03062013      ;123041;10.170.1.9     ;OK ;597026007976        ;conectandose al port :(3000)                                            
276974674 ;       12514;   ;resultado ;logro abrir_conexion                    ;03062013      ;123041;10.170.1.9     ; 0 ;597026007976        ;Abrio socket para conex-com                                             
276974674 ;       12514;   ;transacc  ;276974674                               ;03062013      ;123041;10.170.1.9     ;OK ;597026007976        ;POST a url http://10.170.1.12:3000/check                                
276974674 ;       12514;   ;transacc  ;276974674                               ;03062013      ;123041;10.170.1.9     ;OK ;597026007976        ;mensaje enviado                                                         
276974674 ;       12514;   ;transacc  ;276974674                               ;03062013      ;123041;10.170.1.9     ;OK ;597026007976        ;Llego ACK del Comercio                                                  
276974674 ;       12514;   ;resultado ;OC_20130603122845                       ;03062013      ;123041;10.170.1.9     ;OK ;597026007976        ;tienda acepto transaccion                                               
276974674 ;       12514;   ;resultado ;OC_20130603122845                       ;03062013      ;123041;10.170.1.9     ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
276974674 ;       12514;   ;resultado ;OC_20130603122845                       ;03062013      ;123041;10.170.1.9     ;OK ;597026007976        ;Todo OK                                                                 
