          ;       19616;   ;Filtro    ;Inicio                                  ;31052013      ;110740;10.170.1.9     ;OK ;                    ;Inicio de filtrado                                                      
          ;       19616;   ;Filtro    ;tbk_param.txt                           ;31052013      ;110740;10.170.1.9     ;OK ;                    ;Archivo parseado                                                        
          ;       19616;   ;Filtro    ;Terminado                               ;31052013      ;110740;10.170.1.9     ;OK ;                    ;Datos Filtrados con exito                                               
          ;       19616;   ;sanitiza  ;inicio                                  ;31052013      ;110740;10.170.1.9     ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       19616;   ;sanitiza  ;Array                                   ;31052013      ;110740;10.170.1.9     ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       19616;   ;sanitiza  ;Fin                                     ;31052013      ;110740;10.170.1.9     ;Ok ;                    ;Sanitizacion exitosa                                                    
0012860138;       19616;   ;pago      ;inicio                                  ;31052013      ;110740;10.170.1.9     ;OK ;597026007976        ;Parseo realizado                                                        
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110740;10.170.1.9     ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110740;10.170.1.9     ;OK ;597026007976        ;Mac generado                                                            
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110740;10.170.1.9     ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110740;10.170.1.9     ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110740;10.170.1.9     ;OK ;597026007976        ;Datos listos para ser enviados                                          
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110740;10.170.1.9     ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110748;10.170.1.9     ;OK ;597026007976        ;Datos validados                                                         
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110748;10.170.1.9     ;OK ;597026007976        ;Token=e38cd365873b483a8887b7e961a11b62f38a963f3e1d0d1a8ee5bfa145a49c3e  
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110748;10.170.1.9     ;OK ;597026007976        ;Redireccion web                                                         
0012860138;       19616;   ;pago      ;https://certificacion.webpay.cl         ;31052013      ;110748;10.170.1.9     ;OK ;597026007976        ;Todo OK                                                                 
          ;       19785;   ;resultado ;Desencriptando                          ;31052013      ;111227;10.170.1.9     ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       19785;   ;resultado ;Validacion                              ;31052013      ;111227;10.170.1.9     ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       19785;   ;resultado ;OC_20130531110731                       ;31052013      ;111227;10.170.1.9     ;OK ;                    ;Parseo de los datos                                                     
          ;       19785;   ;resultado ;OC_20130531110731                       ;31052013      ;111227;10.170.1.9     ;OK ;                    ;http://10.170.1.12:3000/check.html                                      
12860138  ;       19785;   ;transacc  ;12860138                                ;31052013      ;111227;10.170.1.9     ;OK ;597026007976        ;conectandose al port :(80)                                              
12860138  ;       19785;   ;resultado ;logro abrir_conexion                    ;31052013      ;111227;10.170.1.9     ; 0 ;597026007976        ;Abrio socket para conex-com                                             
12860138  ;       19785;   ;transacc  ;12860138                                ;31052013      ;111227;10.170.1.9     ;OK ;597026007976        ;POST a url http://10.170.1.12:3000/check.html                           
12860138  ;       19785;   ;transacc  ;12860138                                ;31052013      ;111227;10.170.1.9     ;OK ;597026007976        ;mensaje enviado                                                         
          ;       19785;   ;resultado ;OC_20130531110731                       ;31052013      ;111241;10.170.1.9     ;OK ;                    ;tienda NO acepto transaccion                                            
          ;       19785;   ;resultado ;OC_20130531110731                       ;31052013      ;111241;10.170.1.9     ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
12860138  ;       19785;   ;resultado ;datoscom                                ;31052013      ;111241;10.170.1.9     ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;       19785;   ;resultado ;OC_20130531110731                       ;31052013      ;111241;10.170.1.9     ;ERR;                    ;46                                                                      
